Video ID,Playlist Video Creation Timestamp
tWoOXozux_c,2020-07-12T02:58:12+00:00
lzuYS_I8dpo,2020-07-12T02:58:28+00:00
z32RGWIURJ8,2020-07-12T02:58:51+00:00
Qi-e0dKczJc,2020-07-12T02:59:06+00:00
iR4_D6P6Hrc,2020-07-12T02:59:26+00:00
A-CqDFfJ0Rc,2020-07-12T03:00:20+00:00
A8rVM8GlD4c,2020-07-12T03:00:56+00:00
A6SvkBhYwso,2020-07-12T05:05:11+00:00
 -gaV9xtcntQ,2020-07-12T05:05:59+00:00
a5MCjmyKUjM,2020-07-12T05:06:08+00:00
XsYtdO6VhR8,2020-07-12T05:06:23+00:00
fOhnZD1lJCY,2020-07-12T05:06:31+00:00
60vmZxmH8Ls,2020-07-12T05:06:45+00:00
QREmPd8P5wg,2021-01-26T18:28:22+00:00
UVjYox3l4Tk,2021-02-11T02:13:12+00:00
GDfRQ5FHeUU,2021-08-05T22:34:27+00:00
6-R00mSIIGk,2021-08-06T04:15:58+00:00
puMifZvxa5s,2021-11-29T04:27:44+00:00
pftPKud6YK4,2021-11-29T04:31:11+00:00
Bx92zPPDpzQ,2021-11-29T04:31:38+00:00
z8PX8z3zeGQ,2021-11-29T04:32:46+00:00
8yXCQkJTiU8,2021-11-29T04:35:49+00:00
NaRBvsdfgBU,2021-12-03T14:47:11+00:00
ATrgJwO409U,2021-12-07T17:06:08+00:00
G5DpUYph3Ck,2021-12-08T18:29:51+00:00
hzA0VrMmRkk,2022-01-03T18:43:15+00:00
jvdDhY57R3U,2022-01-28T16:10:42+00:00
gEz9ZybaZcY,2022-04-06T14:01:17+00:00
DvnxE_Mdqog,2022-04-23T13:52:21+00:00
DpXKkh9TB-Y,2022-09-09T19:04:22+00:00
rgmBc2BaM2A,2022-11-01T14:56:30+00:00
VsJI6DaLNJg,2022-11-09T23:44:39+00:00
sDwfRucZtyw,2022-11-11T14:03:41+00:00
Epz3H72duKg,2022-11-11T15:26:14+00:00
2GtBJWhmYIs,2022-12-12T06:07:54+00:00
vV4uGNZmPTI,2022-12-12T06:12:26+00:00
vV4uGNZmPTI,2022-12-12T06:12:31+00:00
wslkLNFNhyo,2022-12-25T21:22:48+00:00
bZ74bm6c7cw,2023-05-02T02:11:51+00:00
Up8y4tuioqs,2023-05-07T05:47:13+00:00
pqSsDjryQ-o,2023-07-20T13:58:33+00:00
2L5qA9PEeQw,2023-07-23T18:37:43+00:00





